state,abbreviation,adjusted_pay_2018,Actual_pay_2020,actual_pay_2018,strike2018_2019,population2018,percent_union2018,log_pop,division,div_name,pct_white_2012,SatScore,SatReading,SatMath,clinton_votes_2016,pct_clinton_2016,clinton_electoral_2016,trump_votes_2016,pct_trump_2016,trump_electoral_2016,biden_votes_2020,pct_biden_2020,biden_electoral_2020,trump_votes_2020,pct_trump_2020,trump_electoral_2020,vax_rate,urban_2020,GINI_2019,pct_religious,pct_hs_diploma,pct_bach_deg,pct_advanced_deg,viol_crime_per_100k,alcohol_deaths_100k,drug_overdose_per_100k,suicides_per_100k
Alabama,AL,57550,54095,49781,0,4887871,10.1,6.689119736,6,East_South_Central,0.666,1165,593,572,729547,34.36,0,1318255,62.08,9,849624,0.3657,0,1441170,0.6203,9,0.3619,0.577,0.4741,0.87,0.8793,0.2743,0.1085,409.1,45.1730416,31.5,16.3
Alaska,AK,55011,70877,67443,0,737438,20,5.867725513,9,Pacific,0.63,1080,547,553,116454,36.55,0,163387,51.28,3,153778,0.4277,0,189951,0.5283,3,0.4688,0.649,0.4376,0.68,0.9331,0.3279,0.1191,758.9,58.7168006,34.3,27.6
Arizona,AZ,46500,50381,45477,1,7171646,6.5,6.855618844,8,Mountain,0.569,1116,563,553,1161167,45.13,0,1252401,48.67,11,1672143,0.4936,11,1661686,0.4906,0,0.4724,0.893,0.4591,0.73,0.8897,0.3243,0.1264,431.5,51.1737473,37.2,20.6
Arkansas,AR,56135,49822,48220,0,3013825,5.3,6.479118031,7,West-South_Central,0.739,1208,614,594,380494,33.65,0,684872,60.57,6,423932,0.3478,0,760647,0.624,6,0.4018,0.555,0.475,0.81,0.8867,0.2527,0.0937,645.3,46.6848606,21.7,18
California,CA,57628,84659,72842,1,39557045,15.8,7.597223841,9,Pacific,0.392,1055,531,524,8753788,61.73,55,4483810,31.62,0,11110250,0.6348,55,6006429,0.3432,0,0.5818,0.942,0.4866,0.72,0.8445,0.3619,0.1405,499.5,39.0398221,26.9,10.4
Colorado,CO,50647,57269,50039,1,5695564,12,6.755536736,8,Mountain,0.694,1201,606,595,1338870,48.16,9,1202484,43.25,0,1804352,0.554,9,1364607,0.419,0,0.5545,0.86,0.4548,0.69,0.9243,0.4442,0.1704,492.5,46.0533847,29.8,21.1
Connecticut,CT,58847,78247,72013,0,3572665,16.7,6.552992295,1,New_England,0.7,1041,530,512,897572,54.57,7,673215,40.93,0,1080831,0.5926,7,714717,0.3919,0,0.6442,0.863,0.5024,0.76,0.9111,0.4213,0.1894,150,39.9141817,40.3,10.6
Delaware,DE,60414,64853,59085,0,967171,10.8,5.985503266,5,South_Atlantic,0.643,996,503,492,235603,53.09,3,185127,41.72,0,296268,0.5874,3,200603,0.3977,0,0.5582,0.826,0.4509,0.76,0.9136,0.3562,0.1505,383.5,48.1817590,55.3,11.4
District Of Columbia,DC,57432,79350,75810,0,702455,11.6,5.846618508,5,South_Atlantic,0.353,950,482,468,282830,90.48,3,12723,4.07,0,317323,0.9215,3,18586,0.054,0,0.5803,1,0.5115,0.76,0.9279,0.6305,0.3782,812.3,55.8042864,64.3,6.1
Florida,FL,51463,48800,49199,0,21299325,6.8,7.32836584,5,South_Atlantic,0.568,1017,520,497,4504975,47.82,0,4617886,49.02,29,5297045,0.4786,0,5668731,0.5122,29,0.5039,0.915,0.4808,0.81,0.8979,0.3316,0.1255,258.9,50.0250595,35.2,14.1
Georgia,GA,59746,60578,54190,1,10519475,5.6,7.021994066,5,South_Atlantic,0.55,1050,535,515,1877963,45.64,0,2089104,50.77,16,2473633,0.4947,16,2461854,0.4924,0,0.4127,0.741,0.4795,0.73,0.8897,0.3463,0.137,367,37.5779210,24.9,14.6
Hawaii,HI,40246,65409,57431,0,1420491,24.3,6.152438486,9,Pacific,0.228,1085,544,541,266891,62.22,3,128847,30.03,0,366130,0.6373,4,196864,0.3427,0,0.6769,0.861,0.4397,0.73,0.9293,0.353,0.131,259.6,37.0294497,18.6,16.6
Idaho,ID,51837,52875,45409,0,1754208,5.6,6.244081087,8,Mountain,0.834,1005,513,493,189765,27.49,0,409055,59.26,4,287021,0.3307,0,554119,0.6384,4,0.3812,0.692,0.4337,0.77,0.9126,0.3072,0.1054,241.4,41.7282329,20.7,22.2
